,id,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?,What are your top priorities for Clifton Beach in the next year? You can select up to 3.
200,87,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
201,87dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
202,87dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
203,88,15 - 24 years,Female,"150,001 - 175,000 rupees",Saddar,,,nan
204,89,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,nan
205,90,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
206,90dup,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
207,90dup,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
208,91,25 - 44 years,Female,Prefer not to answer,Shah Faisal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
209,91dup,25 - 44 years,Female,Prefer not to answer,Shah Faisal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
210,91dup,25 - 44 years,Female,Prefer not to answer,Shah Faisal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
211,92,15 - 24 years,Female,Prefer not to answer,Malir Cantonment,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
212,92dup,15 - 24 years,Female,Prefer not to answer,Malir Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
213,92dup,15 - 24 years,Female,Prefer not to answer,Malir Cantonment,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
214,93,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
215,93dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
216,93dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
217,94,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulzar-e-Hijri,,,nan
218,95,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,nan
219,96,15 - 24 years,Male,"125,001 - 150,000 rupees",Ferozabad,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
220,96dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Ferozabad,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
221,96dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Ferozabad,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
222,97,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,nan
223,98,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
224,98dup,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
225,98dup,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,,,"Natural areas (like: forests, gardens, etc)"
226,99,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,nan
227,100,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
228,100dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,"Commerce (like: restaurants, bazaars, malls, etc)"
229,100dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
230,101,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
231,101dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)"
232,101dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
233,102,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
234,102dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
235,102dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
236,103,15 - 24 years,Female,Prefer not to answer,Karachi Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
237,103dup,15 - 24 years,Female,Prefer not to answer,Karachi Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
238,103dup,15 - 24 years,Female,Prefer not to answer,Karachi Cantonment,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
239,104,15 - 24 years,Female,"50,001 - 75,000 rupees",Shah Faisal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
240,104dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Shah Faisal,,,"Commerce (like: restaurants, bazaars, malls, etc)"
241,104dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Shah Faisal,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
242,105,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
243,105dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
244,105dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
245,106,15 - 24 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
246,106dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
247,106dup,15 - 24 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
248,107,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,,,nan
249,108,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,,,nan
250,109,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,nan
251,110,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
252,110dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
253,110dup,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
254,111,15 - 24 years,Male,"200,001 and above",Airport,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
255,111dup,15 - 24 years,Male,"200,001 and above",Airport,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
256,111dup,15 - 24 years,Male,"200,001 and above",Airport,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
257,112,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
258,112dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
259,112dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
260,113,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
261,113dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
262,113dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,"Natural areas (like: forests, gardens, etc)"
263,114,15 - 24 years,Female,Prefer not to answer,Faisal Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
264,114dup,15 - 24 years,Female,Prefer not to answer,Faisal Cantonment,,,"Natural areas (like: forests, gardens, etc)"
265,114dup,15 - 24 years,Female,Prefer not to answer,Faisal Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
266,115,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
267,115dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
268,116,45 years and above,Female,"50,001 - 75,000 rupees",Faisal Cantonment,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
269,116dup,45 years and above,Female,"50,001 - 75,000 rupees",Faisal Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
270,116dup,45 years and above,Female,"50,001 - 75,000 rupees",Faisal Cantonment,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
271,117,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
272,117dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)"
273,117dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
274,118,15 - 24 years,Female,"200,001 and above",Nazimabad,,,nan
275,119,25 - 44 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,nan
276,120,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,nan
277,121,25 - 44 years,Female,Prefer not to answer,Shah Faisal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
278,121dup,25 - 44 years,Female,Prefer not to answer,Shah Faisal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
279,122,45 years and above,Male,"50,001 - 75,000 rupees",Clifton Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
280,122dup,45 years and above,Male,"50,001 - 75,000 rupees",Clifton Cantonment,,,"Natural areas (like: forests, gardens, etc)"
281,122dup,45 years and above,Male,"50,001 - 75,000 rupees",Clifton Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
282,123,15 - 24 years,Male,"Up to 25,000 rupees",Nazimabad,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
283,123dup,15 - 24 years,Male,"Up to 25,000 rupees",Nazimabad,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
284,123dup,15 - 24 years,Male,"Up to 25,000 rupees",Nazimabad,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
285,124,25 - 44 years,Female,"Up to 25,000 rupees",Gulshan-e-Iqbal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
286,124dup,25 - 44 years,Female,"Up to 25,000 rupees",Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
287,124dup,25 - 44 years,Female,"Up to 25,000 rupees",Gulshan-e-Iqbal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
288,125,45 years and above,Prefer not to answer,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
289,125dup,45 years and above,Prefer not to answer,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
290,125dup,45 years and above,Prefer not to answer,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
291,126,25 - 44 years,Male,"Up to 25,000 rupees",Shah Faisal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
292,126dup,25 - 44 years,Male,"Up to 25,000 rupees",Shah Faisal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
293,126dup,25 - 44 years,Male,"Up to 25,000 rupees",Shah Faisal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
294,127,25 - 44 years,Female,"25,001 - 50,000 rupees",Sindh Industrial Trading Estate (SITE),,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
295,127dup,25 - 44 years,Female,"25,001 - 50,000 rupees",Sindh Industrial Trading Estate (SITE),,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
296,127dup,25 - 44 years,Female,"25,001 - 50,000 rupees",Sindh Industrial Trading Estate (SITE),,,Different side for horses and camels 
297,128,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
298,128dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
299,128dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
300,129,15 - 24 years,Male,"Up to 25,000 rupees",Korangi,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
301,129dup,15 - 24 years,Male,"Up to 25,000 rupees",Korangi,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
302,129dup,15 - 24 years,Male,"Up to 25,000 rupees",Korangi,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
303,130,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
304,130dup,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
305,130dup,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
306,131,15 - 24 years,Female,"25,001 - 50,000 rupees",New Karachi Town,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
307,131dup,15 - 24 years,Female,"25,001 - 50,000 rupees",New Karachi Town,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
308,131dup,15 - 24 years,Female,"25,001 - 50,000 rupees",New Karachi Town,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
309,132,25 - 44 years,Female,Prefer not to answer,Outside Karachi,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
310,132dup,25 - 44 years,Female,Prefer not to answer,Outside Karachi,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
311,132dup,25 - 44 years,Female,Prefer not to answer,Outside Karachi,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
312,133,25 - 44 years,Male,"25,001 - 50,000 rupees",Outside Karachi,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
313,133dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Outside Karachi,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
314,133dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Outside Karachi,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
315,134,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
316,134dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
317,134dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
318,134dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,Hospital
319,135,25 - 44 years,Male,"25,001 - 50,000 rupees",Korangi,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
320,135dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Korangi,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
321,135dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Korangi,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
322,136,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
323,136dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,,,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)"
324,136dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
325,137,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
326,137dup,15 - 24 years,Male,"25,001 - 50,000 rupees",Shah Faisal,,,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)"
